table_name,column_name,data_type,nullable,default_value,primary_key,foreign_key,references,unique,check_constraint,id_generation,notes
"account_contacts","id","TEXT","true","","true","false","","id","","Application-generated TEXT UUID (randomUUID() is used in the table’s code path).","Identifier or relationship key."
"account_contacts","account_id","TEXT","false","","false","true","accounts.id ON DELETE RESTRICT ON UPDATE NO ACTION","account_id + contact_type + contact_value","","Existing accounts.id identifier selected by application or import path.","Identifier or relationship key."
"account_contacts","contact_type","TEXT","false","","false","false","","account_id + contact_type + contact_value","contact_type IN ('PHONE', 'EMAIL', 'ADDRESS', 'OTHER')","","Source/reference data unless derived by service logic."
"account_contacts","contact_kind","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"account_contacts","contact_value","TEXT","false","","false","false","","account_id + contact_type + contact_value","","","Source/reference data unless derived by service logic."
"account_contacts","is_primary","INTEGER","false","0","false","false","","","is_primary IN (0, 1)","","Source/reference data unless derived by service logic."
"account_contacts","created_at","TEXT","false","","false","false","","","","","System-maintained audit/lifecycle metadata."
"account_contacts","updated_at","TEXT","false","","false","false","","","","","System-maintained audit/lifecycle metadata."
"accounts","id","TEXT","true","","true","false","","id","","Application-generated TEXT UUID (randomUUID() is used in the table’s code path).","Identifier or relationship key."
"accounts","account_number","TEXT","false","","false","false","","account_number","","","Source/reference data unless derived by service logic."
"accounts","display_name","TEXT","false","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","account_type","TEXT","false","'CUSTOMER'","false","false","","","account_type IN ('CUSTOMER', 'BUSINESS', 'OTHER')","","Source/reference data unless derived by service logic."
"accounts","last_name","TEXT","false","''","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","first_name","TEXT","false","''","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","middle_name","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","suffix","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","street_subdivision","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","barangay","TEXT","false","''","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","city_municipality","TEXT","false","''","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","province","TEXT","false","''","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","occupation","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","agent","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","referred_by","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","status","TEXT","false","'ACTIVE'","false","false","","","status IN ('ACTIVE', 'BLACKLISTED')","","Source/reference data unless derived by service logic."
"accounts","blacklisted_at","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","blacklisted_by_user_id","TEXT","true","","false","true","users.id ON DELETE SET NULL ON UPDATE NO ACTION","","","Existing users.id identifier selected by application or import path.","Identifier or relationship key."
"accounts","blacklist_reason","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","is_active","INTEGER","false","1","false","false","","","is_active IN (0, 1)","","Source/reference data unless derived by service logic."
"accounts","created_at","TEXT","false","","false","false","","","","","System-maintained audit/lifecycle metadata."
"accounts","updated_at","TEXT","false","","false","false","","","","","System-maintained audit/lifecycle metadata."
"accounts","civil_status","TEXT","true","","false","false","","","","","Source/reference data unless derived by service logic."
"accounts","latitude","REAL","true","","false","false","","","","","Source/reference data unless derived by service logic."
